Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	
a	0	0	0	400	1000	1000	1000	1000	1000	1082	1081	0	0	0	0	617	1931	3265	4600	5935	7270	8187	8687	9187	9687	10187	10687	11187	12837	15587	18337	19782	21299.25	22892.3625	24565.1306	26321.5372	28165.764	30102.2022	32135.4623	34270.3854	36512.0547	38865.8074	41337.2478	43932.2602	46657.0232	49518.0244	52522.0756	55676.3294	58988.2959	62465.8606	66117.3037	69951.3189	73977.0348	78204.0365	82642.3884	87302.6578	92195.9407	97333.8877	102728.7321	108393.3187	114341.1346	120586.3414	127143.8084	134029.1489	141258.7563	148849.8441	156820.4863	165189.6606	173977.2937	183204.3084	192892.6738	203065.4575	213746.8803	224962.3744	236738.6431	249103.7252	262087.0615	275719.5646	290033.6928	305063.5274	320844.8538	337415.2465	354814.1588	373083.0168	392265.3176	412406.7335	433555.2202	455761.1312	479077.3377	503559.3546	529265.4723	
b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493.6	1544.769089	2611.905554	3679.878652	4747.856104	5815.836932	6549.6	6949.6	7349.6	7749.6	8149.6	8549.6	8949.6	10269.6	12469.6	14669.6	26.66666667	53.33333333	80	106.6666667	133.3333333	160	186.6666667	213.3333333	240	266.6666667	293.3333333	320	346.6666667	373.3333333	400	426.6666667	453.3333333	480	506.6666667	533.3333333	560	586.6666667	613.3333333	640	666.6666667	693.3333333	720	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	746.6666667	
c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.4	386.2309108	653.0944461	920.121348	1187.143896	1454.163068	1637.4	1737.4	1837.4	1937.4	2037.4	2137.4	2237.4	2567.4	3117.4	3667.4	400	800	1200	1600	2000	2400	2800	3200	3600	4000	4400	4800	5200	5600	6000	6400	6800	7200	7600	8000	8400	8800	9200	9600	10000	10400	10800	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	11200	
DE Offshore Baltic_Sea 3327 54.5 10.625 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	30.85	96.55772771	163.2736115	230.030337	296.7859741	363.5407671	409.35	434.35	459.35	484.35	509.35	534.35	559.35	641.85	779.35	916.85	965.0896079	1013.310365	1061.493378	1109.619745	1157.670601	1205.627157	1253.470733	1301.182801	1348.745024	1396.139291	1443.347748	1490.352844	1537.137357	1583.684426	1629.977589	1676.000808	1721.738497	1767.175556	1812.29739	1857.089931	1901.539672	1945.633676	1989.359598	2032.705707	2075.660896	2118.214695	2160.357292	2202.079529	2216.706256	2230.896329	2244.642622	2257.93869	2270.778774	2283.157802	2295.071383	2306.515808	2317.48804	2327.985714	2338.007123	2347.551215	2356.617576	2365.206425	2373.318597	2380.95553	2388.119253	2394.812367	2401.03803	2406.799942	2412.102322	2416.949895	2421.34787	2425.301921	2428.818167	2431.903153	2434.563829	2436.807527	2438.641945	2440.07512	2441.115415	2441.771491	
DE Offshore Baltic_Sea 3331 54.5 13.125 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	30.85	96.55772771	163.2736115	230.030337	296.7859741	363.5407671	409.35	434.35	459.35	484.35	509.35	534.35	559.35	641.85	779.35	916.85	965.0896079	1013.310365	1061.493378	1109.619745	1157.670601	1205.627157	1253.470733	1301.182801	1348.745024	1396.139291	1443.347748	1490.352844	1537.137357	1583.684426	1629.977589	1676.000808	1721.738497	1767.175556	1812.29739	1857.089931	1901.539672	1945.633676	1989.359598	2032.705707	2075.660896	2118.214695	2160.357292	2202.079529	2216.706256	2230.896329	2244.642622	2257.93869	2270.778774	2283.157802	2295.071383	2306.515808	2317.48804	2327.985714	2338.007123	2347.551215	2356.617576	2365.206425	2373.318597	2380.95553	2388.119253	2394.812367	2401.03803	2406.799942	2412.102322	2416.949895	2421.34787	2425.301921	2428.818167	2431.903153	2434.563829	2436.807527	2438.641945	2440.07512	2441.115415	2441.771491	
DE Offshore Baltic_Sea 3422 55.0 14.375 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	30.85	96.55772771	163.2736115	230.030337	296.7859741	363.5407671	409.35	434.35	459.35	484.35	509.35	534.35	559.35	641.85	779.35	916.85	965.0896079	1013.310365	1061.493378	1109.619745	1157.670601	1205.627157	1253.470733	1301.182801	1348.745024	1396.139291	1443.347748	1490.352844	1537.137357	1583.684426	1629.977589	1676.000808	1721.738497	1767.175556	1812.29739	1857.089931	1901.539672	1945.633676	1989.359598	2032.705707	2075.660896	2118.214695	2160.357292	2202.079529	2216.706256	2230.896329	2244.642622	2257.93869	2270.778774	2283.157802	2295.071383	2306.515808	2317.48804	2327.985714	2338.007123	2347.551215	2356.617576	2365.206425	2373.318597	2380.95553	2388.119253	2394.812367	2401.03803	2406.799942	2412.102322	2416.949895	2421.34787	2425.301921	2428.818167	2431.903153	2434.563829	2436.807527	2438.641945	2440.07512	2441.115415	2441.771491	
DE Offshore Baltic_Sea 3510 55.5 13.75 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	30.85	96.55772771	163.2736115	230.030337	296.7859741	363.5407671	409.35	434.35	459.35	484.35	509.35	534.35	559.35	641.85	779.35	916.85	965.0896079	1013.310365	1061.493378	1109.619745	1157.670601	1205.627157	1253.470733	1301.182801	1348.745024	1396.139291	1443.347748	1490.352844	1537.137357	1583.684426	1629.977589	1676.000808	1721.738497	1767.175556	1812.29739	1857.089931	1901.539672	1945.633676	1989.359598	2032.705707	2075.660896	2118.214695	2160.357292	2202.079529	2216.706256	2230.896329	2244.642622	2257.93869	2270.778774	2283.157802	2295.071383	2306.515808	2317.48804	2327.985714	2338.007123	2347.551215	2356.617576	2365.206425	2373.318597	2380.95553	2388.119253	2394.812367	2401.03803	2406.799942	2412.102322	2416.949895	2421.34787	2425.301921	2428.818167	2431.903153	2434.563829	2436.807527	2438.641945	2440.07512	2441.115415	2441.771491	
DE Offshore North_Sea_Bottom_Corner 3235 54.0 8.75 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Far 3409 55.0 6.25 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Middle 3322 54.5 7.5 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Middle 3323 54.5 8.125 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Middle 3410 55.0 6.875 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Middle 3411 55.0 7.5 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Near 3412 55.0 8.125 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Near_Mid_West  3234 54.0 8.125 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
DE Offshore North_Sea_Near_Very_West 3231 54.0 6.25 100M Generator NWST	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	44.87272727	140.4335536	237.4459594	334.5344229	431.6232822	528.7124483	595.4181818	631.7818182	668.1454545	704.5090909	740.8727273	777.2363636	813.6	933.6	1133.6	1333.6	1391.645491	1449.663561	1507.626731	1565.507508	1623.27845	1680.912228	1738.381672	1795.659831	1852.720035	1909.535938	1966.081573	2022.33141	2078.260398	2133.844013	2189.058311	2243.879963	2298.286299	2352.255355	2405.7659	2458.797476	2511.330433	2563.345953	2614.826082	2665.753756	2716.112818	2765.888042	2815.065152	2863.63083	2884.906069	2905.546176	2925.540783	2944.880518	2963.557005	2981.562863	2998.891709	3015.538144	3031.497755	3046.767099	3061.343694	3075.226009	3088.413444	3100.906315	3112.705838	3123.814104	3134.234065	3143.969503	3153.025013	3161.405975	3169.118528	3176.169544	3182.566598	3188.317945	3193.432485	3197.919738	3201.789812	3205.053373	3207.721616	3209.806236	3211.319392	3212.273683	
