Start Time	01/01/2010	01/01/2011	01/01/2012	01/01/2013	01/01/2014	01/01/2015	01/01/2016	01/01/2017	01/01/2018	01/01/2019	01/01/2020	01/01/2021	01/01/2022	01/01/2023	01/01/2024	01/01/2025	01/01/2026	01/01/2027	01/01/2028	01/01/2029	01/01/2030	01/01/2031	01/01/2032	01/01/2033	01/01/2034	01/01/2035	01/01/2036	01/01/2037	01/01/2038	01/01/2039	01/01/2040	01/01/2041	01/01/2042	01/01/2043	01/01/2044	01/01/2045	01/01/2046	01/01/2047	01/01/2048	01/01/2049	01/01/2050	01/01/2051	01/01/2052	01/01/2053	01/01/2054	01/01/2055	01/01/2056	01/01/2057	01/01/2058	01/01/2059	01/01/2060	01/01/2061	01/01/2062	01/01/2063	01/01/2064	01/01/2065	01/01/2066	01/01/2067	01/01/2068	01/01/2069	01/01/2070	01/01/2071	01/01/2072	01/01/2073	01/01/2074	01/01/2075	01/01/2076	01/01/2077	01/01/2078	01/01/2079	01/01/2080	01/01/2081	01/01/2082	01/01/2083	01/01/2084	01/01/2085	01/01/2086	01/01/2087	01/01/2088	01/01/2089	01/01/2090	01/01/2091	01/01/2092	01/01/2093	01/01/2094	01/01/2095	01/01/2096	01/01/2097	01/01/2098	01/01/2099	01/01/2100										
DE Onshore Hessen_Middle 2702 51.0 9.375 100M Generator NWST	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	837.6867125	902.8535054	984.6339263	1185.202296	1443.563845	1706.607776	1940.614434	2158.636309	2295.40208	2349.345945	2356.972265	2364.190059	2353.946465	2347.705752	2352.591159	2344.364765	2342.379083	2359.651359	2375.820479	2361.510966	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391																																									
DE Onshore NRW_East 2790 51.5 8.75 100M Generator NWST	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1286.770117	1370.847523	1401.631481	1439.142412	1491.953609	1547.005539	1576.754519	1598.881373	1601.667055	1602.934971	1612.625077	1617.563445	1610.554845	1606.284989	1609.627553	1603.999107	1602.640517	1614.458096	1625.520902	1615.730427	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361																																									
DE Onshore NRW_Munster 2877 52.0 7.5 100M Generator NWST	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1286.770117	1370.847523	1401.631481	1439.142412	1491.953609	1547.005539	1576.754519	1598.881373	1601.667055	1602.934971	1612.625077	1617.563445	1610.554845	1606.284989	1609.627553	1603.999107	1602.640517	1614.458096	1625.520902	1615.730427	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361																																									
DE Onshore NRW_Northwest 2876 52.0 6.875 100M Generator NWST	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1286.770117	1370.847523	1401.631481	1439.142412	1491.953609	1547.005539	1576.754519	1598.881373	1601.667055	1602.934971	1612.625077	1617.563445	1610.554845	1606.284989	1609.627553	1603.999107	1602.640517	1614.458096	1625.520902	1615.730427	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361																																									
DE Onshore NRW_SouthWest 2608 50.5 6.25 100M Generator NWST	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1286.770117	1370.847523	1401.631481	1439.142412	1491.953609	1547.005539	1576.754519	1598.881373	1601.667055	1602.934971	1612.625077	1617.563445	1610.554845	1606.284989	1609.627553	1603.999107	1602.640517	1614.458096	1625.520902	1615.730427	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361																																									
DE Onshore NRW_West 2697 51.0 6.25 100M Generator NWST	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1219.731485	1286.770117	1370.847523	1401.631481	1439.142412	1491.953609	1547.005539	1576.754519	1598.881373	1601.667055	1602.934971	1612.625077	1617.563445	1610.554845	1606.284989	1609.627553	1603.999107	1602.640517	1614.458096	1625.520902	1615.730427	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361	1617.369361																																									
DE Onshore Thuringen 2704 51.0 10.625 100M Generator NWST	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	644.2996843	647.5713497	648.503264	676.5873424	708.9293618	743.3318127	772.4418493	768.4696728	764.3219707	751.5399856	739.7021525	736.7097346	738.9657727	735.7639719	733.8133363	735.340349	732.7690567	732.1483999	737.5471286	742.6010481	738.1283786	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074	738.8771074																																									
DE Onshore Thuringen_Weimar 2705 51.0 11.25 100M Generator NWST	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2326.429814	2459.250461	2488.164715	2560.018697	2649.89499	2700.572946	2742.828225	2731.762807	2719.603502	2677.089451	2638.513556	2629.699246	2637.752217	2626.323328	2619.360498	2624.811199	2615.632922	2613.417476	2632.68834	2650.7284	2634.763123	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724	2637.435724																																									
NRW	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6433.850586	6854.237615	7008.157403	7195.71206	7459.768046	7735.027693	7883.772595	7994.406864	8008.335273	8014.674854	8063.125387	8087.817226	8052.774223	8031.424947	8048.137764	8019.995537	8013.202586	8072.29048	8127.604512	8078.652133	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804																																									
HES	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2513.060138	2708.560516	2953.901779	3555.606889	4330.691534	5119.823327	5821.843301	6475.908927	6886.206241	7048.037835	7070.916796	7092.570178	7061.839395	7043.117257	7057.773476	7033.094294	7027.13725	7078.954078	7127.461437	7084.532897	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172																																									
TH	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1295.142699	1297.006528	1353.174685	1417.858724	1486.663625	1544.883699	1536.939346	1528.643941	1503.079971	1479.404305	1473.419469	1477.931545	1471.527944	1467.626673	1470.680698	1465.538113	1464.2968	1475.094257	1485.202096	1476.256757	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215																																									
SN	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1811.679111	1839.661451	1883.431355	1940.965628	1957.241134	1970.386376	1963.293134	1955.281531	1925.549465	1898.811404	1892.989512	1898.786444	1890.559357	1885.547162	1889.47085	1882.863866	1881.269076	1895.141211	1908.127352	1896.634744	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617																																									
